番号,都道府県,地区名称等,種別,選定年月日,選定基準,面積（ha）,pdfurl
19,富山,高岡市金屋町,鋳物師町,2012-12-28,（一）,6.4,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_19.pdf
20,富山,高岡市吉久,在郷町,2020-12-23,（二）,4.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_20.pdf
21,富山,南砺市相倉,山村集落,1994-12-21,（三）,18.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_21.pdf
22,富山,南砺市菅沼,山村集落,1994-12-21,（三）,4.4,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_22.pdf
23,石川,金沢市東山ひがし,茶屋町,2001-11-14,（一）,1.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_23.pdf
24,石川,金沢市主計町,茶屋町,2008-06-09,（一）,0.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_24.pdf
25,石川,金沢市卯辰山麓,寺町,2011-11-29,（二）,22.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_25.pdf
26,石川,金沢市寺町台,寺町,2012-12-28,（二）,22.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_26.pdf
27,石川,輪島市黒島地区,船主集落,2009-06-30,（二）,20.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_27.pdf
28,石川,加賀市加賀橋立,船主集落,2005-12-27,（二）,11.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_28.pdf
29,石川,加賀市加賀東谷,山村集落,2011-11-29,（三）,151.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_29.pdf
30,石川,白山市白峰,山村・養蚕集落,2012-07-09,（三）,10.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_30.pdf
31,福井,小浜市小浜西組,商家町・茶屋町,2008-06-09,（二）,19.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_31.pdf
32,福井,南越前町今庄宿,宿場町,2021-08-02,（二）,9.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_32.pdf
33,福井,若狭町熊川宿,宿場町,1996-07-09,（三）,10.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_33.pdf
34,山梨,甲州市塩山下小田原上条,山村・養蚕集落,2015-07-08,（三）,15.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_34.pdf
35,山梨,早川町赤沢,山村・講中宿,1993-07-14,（三）,25.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_35.pdf
36,長野,長野市戸隠,宿坊群・門前町,2017-02-23,（二）,73.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_36.pdf
37,長野,塩尻市奈良井,宿場町,1978-05-31,（三）,17.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_37.pdf
38,長野,塩尻市木曾平沢,漆工町,2006-07-05,（二）,12.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_38.pdf
